player_name,team,position
Junior Caminero,Tampa Bay Rays,3B
Roki Sasaki,Los Angeles Dodgers,P
Konnor Griffin,Pittsburgh Pirates,SS
Kristian Campbell,Boston Red Sox,2B
Ethan Salas,San Diego Padres,C
Jackson Holliday,Baltimore Orioles,SS
Jasson Dominguez,New York Yankees,OF
Druw Jones,Arizona Diamondbacks,OF
Jackson Chourio,Milwaukee Brewers,OF
Wyatt Langford,Texas Rangers,OF
James Wood,Washington Nationals,OF
Dylan Crews,Washington Nationals,OF
Walker Jenkins,Minnesota Twins,OF
Max Clark,Detroit Tigers,OF
Termarr Johnson,Pittsburgh Pirates,2B
Andrew Painter,Philadelphia Phillies,P
Paul Skenes,Pittsburgh Pirates,P
Sebastian Walcott,Texas Rangers,SS
Bubba Chandler,Pittsburgh Pirates,P
Roman Anthony,Boston Red Sox,OF
